time,total_sum,ratio
00:00:00,1234,0.0032414910858995
01:00:00,1174,0.0017035775127768
02:00:00,1012,0.0029644268774703
03:00:00,916,0.0054585152838427
04:00:00,942,0.0031847133757961
05:00:00,1256,0.0039808917197452
06:00:00,1676,0.0023866348448687
07:00:00,2152,0.0037174721189591
08:00:00,2900,0.0079310344827586
09:00:00,3328,0.0087139423076923
10:00:00,3508,0.008266818700114
11:00:00,3216,0.0068407960199004
12:00:00,2848,0.0080758426966292
13:00:00,2841,0.0070397747272087
14:00:00,3567,0.0089711241940005
15:00:00,3813,0.008654602675059
16:00:00,3529,0.0082176253896287
17:00:00,3361,0.0113061588812853
18:00:00,2756,0.0090711175616835
19:00:00,2446,0.0106295993458708
20:00:00,2158,0.0064874884151992
21:00:00,2052,0.0058479532163742
22:00:00,1706,0.0052754982415005
23:00:00,1432,0.0048882681564245
00:00:00,1264,0.0015822784810126
01:00:00,1088,0.0045955882352941
02:00:00,976,0.0020491803278688
03:00:00,844,0.0023696682464454
04:00:00,975,0.003076923076923
05:00:00,1221,0.004095004095004
06:00:00,1653,0.0072595281306715
07:00:00,2159,0.0064844835572024
08:00:00,2673,0.0074822297044519
09:00:00,3201,0.0087472664792252
10:00:00,3289,0.0097294010337488
11:00:00,3206,0.0106051154086088
12:00:00,3023,0.0066159444260668
13:00:00,3546,0.0053581500282007
14:00:00,4121,0.0082504246542101
15:00:00,4306,0.0090571295866233
16:00:00,4193,0.0088242308609587
17:00:00,3881,0.009791290904406
18:00:00,3201,0.0087472664792252
19:00:00,2776,0.0115273775216138
20:00:00,2482,0.0052377115229653
21:00:00,2353,0.0067998300042498
22:00:00,1862,0.0042964554242749
23:00:00,1560,0.0057692307692307
00:00:00,1318,0.0083459787556904
01:00:00,1207,0.004142502071251
02:00:00,1058,0.0056710775047258
03:00:00,1023,0.0019550342130987
04:00:00,816,0.0036764705882352
05:00:00,1087,0.0027598896044158
06:00:00,1825,0.0038356164383561
07:00:00,2460,0.0032520325203252
08:00:00,3199,0.0043763676148796
09:00:00,3992,0.0082665330661322
10:00:00,4107,0.0080350620891161
11:00:00,4522,0.0077399380804953
12:00:00,3928,0.0066191446028513
13:00:00,4259,0.0093918760272364
14:00:00,4825,0.0049740932642487
15:00:00,4998,0.0060024009603841
16:00:00,4552,0.0070298769771528
17:00:00,4092,0.0075757575757575
18:00:00,3499,0.012289225492998
19:00:00,3140,0.00828025477707
20:00:00,2738,0.0047479912344777
21:00:00,2371,0.0080134964150147
22:00:00,2174,0.0050597976080956
23:00:00,1793,0.0044617958728388
00:00:00,1407,0.0049751243781094
01:00:00,1226,0.0065252854812398
02:00:00,1041,0.0038424591738712
03:00:00,907,0.0055126791620727
04:00:00,1006,0.0049701789264413
05:00:00,1297,0.0015420200462606
06:00:00,1745,0.0034383954154727
07:00:00,2318,0.0086281276962899
08:00:00,3069,0.0074942978168784
09:00:00,3671,0.0059929174611822
10:00:00,3992,0.0097695390781563
11:00:00,4042,0.0061850569025235
12:00:00,4337,0.0066866497578971
13:00:00,5119,0.0070326235592889
14:00:00,5784,0.0065698478561549
15:00:00,5731,0.0082010120397836
16:00:00,5399,0.0051861455825152
17:00:00,4988,0.0092221331194867
18:00:00,4148,0.0108486017357762
19:00:00,3571,0.007000840100812
20:00:00,3166,0.0091598231206569
21:00:00,2865,0.0031413612565445
22:00:00,2415,0.0099378881987577
23:00:00,1892,0.0031712473572938
00:00:00,1949,0.0123140071831708
01:00:00,1419,0.0091613812544045
02:00:00,1279,0.0086004691164972
03:00:00,1096,0.0054744525547445
04:00:00,1184,0.0118243243243243
05:00:00,1620,0.0129629629629629
06:00:00,2237,0.0134108180599016
07:00:00,2908,0.0168500687757909
08:00:00,3650,0.0147945205479452
09:00:00,4188,0.0250716332378223
10:00:00,4464,0.0183691756272401
11:00:00,4301,0.0234829109509416
12:00:00,4267,0.0210921021795172
13:00:00,4809,0.0245373258473695
14:00:00,5443,0.0220466654418519
15:00:00,5238,0.0185185185185185
16:00:00,4933,0.0218933711737279
17:00:00,4550,0.0235164835164835
18:00:00,3742,0.0240513094601817
19:00:00,3318,0.0174804098854731
20:00:00,2983,0.019108280254777
21:00:00,2638,0.0212282031842304
22:00:00,2270,0.0224669603524229
23:00:00,1951,0.0164018452075858
00:00:00,1632,0.0147058823529411
01:00:00,1351,0.0111028867505551
02:00:00,1180,0.0050847457627118
03:00:00,1081,0.0101757631822386
04:00:00,1073,0.0065237651444548
05:00:00,1424,0.0084269662921348
06:00:00,2060,0.0174757281553398
07:00:00,2661,0.0131529500187899
08:00:00,3473,0.0158364526346098
09:00:00,3981,0.0195930670685757
10:00:00,4312,0.022495361781076
11:00:00,4142,0.0212457749879285
12:00:00,3557,0.0163058757379814
13:00:00,4570,0.0144420131291028
14:00:00,5549,0.0151378626779599
15:00:00,5750,0.017391304347826
16:00:00,5571,0.0170525937892658
17:00:00,4350,0.0213793103448275
18:00:00,4390,0.0211845102505694
19:00:00,3932,0.0211088504577823
20:00:00,3547,0.018043416972089
21:00:00,3147,0.0187480139815697
22:00:00,2729,0.0146573836570172
23:00:00,1995,0.0205513784461152
00:00:00,1722,0.0133565621370499
01:00:00,1295,0.0108108108108108
02:00:00,1305,0.0130268199233716
03:00:00,1106,0.0081374321880651
04:00:00,1094,0.0054844606946983
05:00:00,1460,0.0095890410958904
06:00:00,2059,0.0184555609519184
07:00:00,2859,0.0164393144456103
08:00:00,3578,0.0220793739519284
09:00:00,4256,0.0227913533834586
10:00:00,4536,0.0255731922398589
11:00:00,4026,0.0245901639344262
12:00:00,4064,0.0157480314960629
13:00:00,4693,0.0181120818239931
14:00:00,5011,0.0181600478946318
15:00:00,5198,0.0157752981916121
16:00:00,4667,0.0186415256053139
17:00:00,4230,0.0210401891252955
18:00:00,3784,0.0248414376321353
19:00:00,3314,0.0184067592033796
20:00:00,2902,0.0148173673328738
21:00:00,2676,0.015321375186846
22:00:00,2307,0.0199393151278716
23:00:00,1983,0.0156328794755421
00:00:00,1448,0.0165745856353591
01:00:00,1255,0.0119521912350597
02:00:00,1113,0.0098831985624438
03:00:00,935,0.0064171122994652
04:00:00,973,0.0071942446043165
05:00:00,1273,0.0102120974076983
06:00:00,1872,0.0138888888888888
07:00:00,2433,0.0172626387176325
08:00:00,3234,0.0247371675943104
09:00:00,3976,0.0213782696177062
10:00:00,4266,0.023441162681669
11:00:00,4163,0.0187364881095363
12:00:00,4281,0.0114459238495678
13:00:00,5007,0.0143798681845416
14:00:00,5626,0.0127977248489157
15:00:00,5579,0.0152357053235346
16:00:00,5060,0.0189723320158102
17:00:00,5596,0.0189421015010721
18:00:00,4402,0.0211267605633802
19:00:00,3428,0.0125437572928821
20:00:00,3346,0.0173341303048416
21:00:00,3077,0.0181995450113747
22:00:00,2493,0.0164460489370236
23:00:00,1919,0.0140698280354351
00:00:00,1580,0.0088607594936708
01:00:00,1362,0.0102790014684287
02:00:00,1191,0.0033585222502099
03:00:00,939,0.0106496272630457
04:00:00,1025,0.0068292682926829
05:00:00,1559,0.0128287363694676
06:00:00,1915,0.0177545691906005
07:00:00,2701,0.0218437615697889
08:00:00,3516,0.0216154721274175
09:00:00,4157,0.0221313447197498
10:00:00,4176,0.0268199233716475
11:00:00,3652,0.0249178532311062
12:00:00,3512,0.0213553530751708
13:00:00,4146,0.0231548480463096
14:00:00,4912,0.020358306188925
15:00:00,5012,0.0199521149241819
16:00:00,4786,0.0192227329711659
17:00:00,4375,0.0242285714285714
18:00:00,3745,0.0237650200267022
19:00:00,3117,0.0192492781520692
20:00:00,2716,0.0191458026509572
21:00:00,2522,0.0202220459952418
22:00:00,2189,0.0141617176793056
23:00:00,1698,0.0135453474676089
00:00:00,1423,0.0098383696416022
01:00:00,1190,0.0126050420168067
02:00:00,1080,0.0064814814814814
03:00:00,979,0.0061287027579162
04:00:00,1086,0.001841620626151
05:00:00,1371,0.0087527352297593
06:00:00,1863,0.0166398282340311
07:00:00,2615,0.0198852772466539
08:00:00,3390,0.0218289085545722
09:00:00,3856,0.0225622406639004
10:00:00,4065,0.0228782287822878
11:00:00,3851,0.0225915346663204
12:00:00,3938,0.0162519045200609
13:00:00,4634,0.0123003884333189
14:00:00,5348,0.0155198204936424
15:00:00,5353,0.0199887913319633
16:00:00,4603,0.0202042146426243
17:00:00,5858,0.0180949129395698
18:00:00,4131,0.0220285645122246
19:00:00,3577,0.0192899077439194
20:00:00,3311,0.0120809423135004
21:00:00,2882,0.0225537820957668
22:00:00,2442,0.018018018018018
23:00:00,1778,0.0106861642294713
