Actual,Predicted
10,14.966791
4,11.947498
4,11.920553
10,11.92049
21,11.920296
45,29.035135
50,34.73926
78,34.74809
75,64.276405
78,40.123573
70,36.755627
71,36.75561
71,36.75561
96,36.43062
89,34.74809
84,34.74809
77,36.75561
53,36.71728
32,34.79222
45,30.69879
40,34.335167
24,34.291714
11,17.86576
12,28.917524
7,22.337017
4,12.418596
9,11.920513
16,11.920515
26,16.215275
50,29.066195
78,34.74809
82,103.744606
90,70.220406
79,103.89941
78,58.538017
86,36.75561
91,36.75561
97,36.755608
124,36.753742
110,102.050514
114,65.22834
75,102.06262
68,64.634636
50,36.75561
38,34.74809
24,34.74306
23,17.891752
14,29.038233
17,25.783926
9,35.4632
6,17.797316
14,11.92634
38,13.469357
47,29.047174
79,34.74809
97,96.05307
116,139.6306
99,143.8205
64,143.82024
85,65.22811
91,36.75561
82,34.74809
87,36.745213
89,36.749516
94,34.74809
61,34.778362
43,36.606365
41,36.75561
46,34.748055
31,34.748074
24,17.892035
15,29.038233
11,29.86769
6,20.976482
7,11.957182
13,11.920494
26,11.954622
42,29.03835
80,34.74809
85,103.74338
100,60.205143
78,102.2613
49,65.22833
72,36.75561
72,36.75559
85,34.74809
96,34.74809
106,34.74809
93,34.74809
43,36.73981
58,36.755264
56,36.5164
41,34.74809
27,34.74464
13,17.891838
13,29.03591
7,19.722263
9,12.564503
5,11.921528
10,11.920488
35,11.921085
58,29.037867
91,34.7481
104,103.815186
114,143.82051
78,143.82051
61,65.22837
86,36.75561
89,36.75561
91,34.74809
99,36.755337
90,36.755173
67,36.28153
58,36.75561
48,36.716457
36,34.74809
30,33.69496
29,17.828133
23,11.920521
16,29.038233
4,33.80858
8,20.900095
13,12.036419
5,11.948988
26,11.920555
50,29.038233
56,34.747993
114,34.74809
94,102.07629
74,143.81602
103,65.22531
83,102.0763
96,65.228294
75,36.75562
84,36.755306
94,36.75561
89,34.74809
59,34.751217
47,36.755604
46,36.755474
31,34.74809
31,17.892185
15,11.920563
6,29.037756
10,17.888748
9,12.039852
6,11.920706
13,11.92049
30,11.949169
42,29.03832
60,34.74809
121,34.748173
94,103.77758
76,143.82051
62,65.22836
87,36.75561
99,36.75561
90,34.751728
100,36.75561
82,36.75562
69,36.754974
47,36.75561
41,34.748264
46,34.748074
29,34.74809
16,17.892033
16,11.920492
9,29.037872
9,11.837233
10,12.203045
8,11.921253
20,11.920502
27,28.934769
51,33.829388
61,34.74809
65,34.748093
89,36.75561
71,102.0761
70,65.22036
72,36.75561
88,36.75529
99,36.749294
89,34.752087
94,36.755417
79,36.75561
53,36.752495
53,36.75561
32,34.791973
34,18.099379
19,12.844343
21,11.922895
10,29.038233
13,11.898556
5,11.838884
7,11.92981
12,11.920624
27,11.945086
51,29.038351
54,34.74809
70,34.74809
84,36.755627
76,93.441444
62,36.862827
90,36.75561
98,36.75561
94,34.74809
84,36.75561
129,36.75561
115,102.0763
88,90.23284
70,51.055164
62,36.75561
43,36.52412
32,34.7479
14,17.892036
14,29.037813
4,29.347334
10,17.351515
7,11.921865
20,11.920485
34,29.033255
59,34.694828
76,34.74812
92,37.298054
112,102.08033
91,143.80016
75,143.20921
96,64.6547
100,53.37762
100,36.765057
92,36.75561
106,36.75561
89,36.979755
60,36.58765
52,36.75561
51,36.753677
31,34.74809
23,17.89248
14,11.920622
15,29.035135
7,25.946348
6,16.651163
2,12.034988
12,11.920488
31,11.94672
52,29.006506
74,34.74809
87,35.406815
93,101.995705
87,142.77995
64,64.96452
57,36.757114
83,36.75561
107,34.74809
93,34.74837
106,34.748127
91,36.75561
69,36.75472
40,36.714302
65,36.69617
44,34.74809
19,34.748016
