Actual,Predicted
107.0,84.00692
90.0,75.46639
58.0,60.777176
57.0,45.953613
56.0,39.834507
51.0,34.18919
32.0,29.294046
24.0,22.523304
15.0,19.617088
6.0,13.087315
11.0,4.5318294
7.0,13.448997
12.0,14.650482
36.0,23.898283
35.0,65.33613
55.0,49.1498
78.0,74.465
97.0,87.7868
88.0,93.974174
58.0,75.449295
66.0,54.633984
84.0,70.05122
100.0,85.165215
95.0,89.07809
93.0,81.00992
93.0,67.6358
83.0,65.558365
64.0,56.218815
59.0,45.450035
40.0,38.646183
41.0,29.437176
21.0,23.8413
14.0,16.630247
5.0,11.699347
8.0,3.567475
5.0,11.316702
20.0,14.097017
42.0,37.274223
57.0,72.4283
82.0,78.62512
91.0,97.47771
75.0,89.87383
67.0,69.21912
75.0,63.363605
78.0,67.356445
95.0,71.244
86.0,83.41416
75.0,75.43834
98.0,62.472446
73.0,72.38878
60.0,51.62885
48.0,42.97869
53.0,34.896423
38.0,32.384655
37.0,25.5898
11.0,22.004562
10.0,8.436403
7.0,8.854783
5.0,3.4861765
5.0,9.862015
7.0,13.119479
23.0,18.788195
46.0,43.539913
61.99999999999999,71.422005
103.0,77.48729
101.0,113.69398
81.0,89.00626
63.00000000000001,68.76701
73.0,61.625366
95.0,71.54492
92.0,82.43167
94.0,74.85514
97.0,72.95193
73.0,67.434586
59.0,52.0511
30.999999999999996,42.82981
39.0,31.142403
37.0,29.734743
21.0,24.777874
10.0,18.814531
16.0,7.790796
6.0,15.990708
11.0,3.722907
9.0,13.244597
14.0,14.902058
24.0,26.586147
50.0,40.693134
61.99999999999999,77.00873
92.0,76.37714
87.0,97.8235
82.0,82.02197
54.0,71.424904
97.0,53.217575
111.0,84.82377
83.0,90.66201
73.0,73.273895
89.0,67.02134
66.0,64.68655
46.0,48.428352
40.0,37.380753
30.999999999999996,32.323074
33.0,26.84315
21.0,23.70344
13.0,18.568363
8.0,10.150343
10.0,6.2399325
4.0,5.039542
4.0,10.190394
10.0,12.807612
21.0,21.118267
45.0,39.750736
50.0,71.22788
78.0,59.572006
75.0,84.44498
78.0,68.34366
70.0,69.78649
71.0,62.526558
71.0,72.83513
96.0,68.563866
89.0,78.71385
84.0,68.62537
77.0,63.381016
53.0,52.42965
32.0,40.547134
45.0,31.407486
40.0,29.398981
24.0,25.664036
11.0,19.8322
12.0,8.515338
7.0,11.956573
4.0,3.384455
9.0,10.048351
16.0,16.896177
26.0,28.650587
50.0,43.810017
78.0,75.13036
82.0,98.667755
90.0,83.02378
79.0,84.45721
78.0,68.91312
86.0,69.54276
91.0,81.603584
97.0,83.26181
123.99999999999999,75.59053
110.0,94.11764
114.0,84.08764
75.0,73.12802
68.0,52.976753
50.0,46.565666
38.0,36.120556
24.0,29.464352
23.0,21.480268
14.0,18.424765
17.0,11.260948
9.0,9.948387
6.0,12.898744
14.0,13.162553
38.0,27.459442
47.0,67.51281
79.0,70.03433
97.0,102.93753
116.0,105.701126
99.0,108.49095
64.0,79.20217
85.0,64.30328
91.0,81.50146
82.0,81.36798
87.0,76.13461
89.0,70.77219
94.0,64.82362
61.0,61.148373
43.0,45.770813
41.0,36.342293
46.0,30.704622
30.999999999999996,27.436878
24.0,21.682903
15.0,19.103186
11.0,13.154176
6.0,6.592829
7.0,10.658473
13.0,14.604191
26.0,24.814054
42.0,47.457478
80.0,63.122147
