Actual,Predicted
19,10.233262
21,17.709576
10,21.405937
13,16.144402
5,22.308542
7,11.559175
12,1.7726579
27,15.563042
51,25.88984
54,93.40701
70,120.88733
84,121.133705
76,121.12625
62,121.12625
90,58.093285
98,103.793945
94,121.12625
84,121.12625
129,121.12625
115,121.12625
88,121.12625
70,121.12625
62,63.289978
43,33.950035
32,31.758799
